"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Central Europe and the Baltics","CEB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4526963053547","12.2267977863527","11.2393054215459","10.630604412825","10.2145325761395","9.16279454291865","8.95386327094163","10.4135970654946","12.4415127085225","13.2565772584653","13.7706002309549","13.11271400862","12.8920845821978","12.0604306029352","10.1035991543197","7.81052774291021","6.60789715722439","8.48918789188442","9.90228106991449","9.7897647270573","9.97994491956799","10.0509872994329","8.86422990937494","7.81913308731245","6.49021703149877","5.29787536945427","4.31741380366816","3.78169952071364","4.37052798149999","4.48700130548085",
"Switzerland","CHE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","0.300000011920929","0.699999988079071","0.400000005960464","0.400000005960464","0.400000005960464","0.200000002980232","0.200000002980232","0.400000005960464","0.899999976158142","1.10000002384186","1","0.800000011920929","0.800000011920929","0.699999988079071","0.600000023841858","2.0699999332428","1.82000005245209","2.80999994277954","3.54999995231628","3.57999992370605","3.08999991416931","3.6800000667572","4.13000011444092","3.5699999332428","3.04999995231628","2.66000008583069","2.49000000953674","2.92000007629395","4.11999988555908","4.32000017166138","4.44000005722046","3.99000000953674","3.64000010490417","3.34999990463257","4.1100001335144","4.80999994277954","4.40999984741211","4.48999977111816","4.75","4.82999992370605","4.80000019073486","4.92000007629395","4.80000019073486","4.71000003814697","4.3899998664856","4.82000017166138","5.09999990463257",
"Channel Islands","CHI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","14.6899995803833","12.75","11.8299999237061","14.2600002288818","13.6300001144409","10.460000038147","11.3500003814697","19.6000003814697","14.6499996185303","13.9099998474121","","8.71000003814697","","6.23000001907349","5.28999996185303","5.63000011444092","5.23000001907349","4.34999990463257","4.48999977111816","5.86999988555908","4.69999980926514","7.40999984741211","7.1399998664856","7.30999994277954","11.1599998474121","10.4899997711182","10.3900003433228","10.1700000762939","9.77000045776367","10.1599998474121","9.34000015258789","9.02000045776367","8.43000030517578","9.28999996185303","11.3100004196167","8.40999984741211","7.32000017166138","6.6399998664856","6.19999980926514","6.65000009536743","6.48999977111816","6.73000001907349","6.94999980926514","7.21000003814697","7.26999998092651","10.9399995803833","9.27999973297119",
"China","CHN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","5.30000019073486","5.40000009536743","4.90000009536743","3.79999995231628","3.20000004768372","2.29999995231628","1.89999997615814","1.79999995231628","2","2","2","2.59999990463257","2.5","2.29999995231628","2.29999995231628","2.59999990463257","2.79999995231628","2.90000009536743","3","3.09999990463257","3.09999990463257","3.09999990463257","3.09999990463257","3.59999990463257","4","4.30000019073486","4.19999980926514","4.19999980926514","4.09999990463257","4","4.19999980926514","4.30000019073486","4.09999990463257","4.09999990463257","4.09999990463257","4.05000019073486","4.09999990463257","","","3.90000009536743","4.92999982833862","5.15000009536743","5.6100001335144","5.1100001335144",
"Cote d'Ivoire","CIV","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.69999980926514","","","4.09999990463257","","","4.09999990463257","","","","","","","","","","","","","","7.21999979019165","4.25","","","1.89999997615814","3.26999998092651","","2.40000009536743","","",
"Cameroon","CMR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0600004196167","","","","","7.46000003814697","","","","4.40000009536743","","3.05999994277954","","","4.1100001335144","","","","3.52999997138977","","","","","","","",
"Congo, Dem. Rep.","COD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.95000004768372","","","","","","","4.48999977111816","","","","","","","","1.47000002861023","",
"Congo, Rep.","COG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7999992370605","","","","19.8600006103516","","","10","","","","","","","","","",
"Colombia","COL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","10.5500001907349","","9.39999961853027","","","9.10000038146973","8.13000011444092","11.460000038147","11.1300001144409","13","13.8900003433228","12.9399995803833","10.8299999237061","","","","10.1199998855591","9.4399995803833","7.80000019073486","8.25","8.72000026702881","11.8100004196167","12.1400003433228","15","20.0599994659424","20.5200004577637","15.039999961853","14.4799995422363","13.2200002670288","12.7399997711182","11.0600004196167","","10.25","10.5200004577637","11.3199996948242","11.1499996185303","10.289999961853","9.96000003814697","9.25","8.80000019073486","8.56999969482422","8.92000007629395","9.09000015258789","9.35999965667725","10.2799997329712","15.5699996948242","13.8999996185303",
